"","Opinion","Number.of.employment.years","House.type","term.in.months","Age","Marital.status","Registers","Type.of.employment","Expenses","income","total.wealth","mortgage.left","amount.of.money.solicitated","price.of.good.to.buy","weight","funding.ratio","saving.capacity","fold"
"37","Positive",3,"ownerwithdeed",2,56,"married","No","Self","less miser",208,1,0,500,1560,0.2,1,2,6
"38","Positive",3,"ownerwithdeed",4,32,"married","No","Permanent","less miser",115,1,0,800,1200,0.2,1,2,6
"39","Negative",2,"rented",54,36,"married","No","Permanent","less miser",99,1,0,950,950,0.2,3,2,6
"40","Positive",3,"ownerwithdeed",5,64,"married","No","Permanent","less miser",120,1,0,1125,1300,0.2,2,2,1
"41","Negative",3,"rented",4,31,"single","No","Permanent","miser",90,1,0,1300,1700,0.2,2,2,6
"42","Positive",3,"ownerwithdeed",5,42,"married","No","Permanent","less miser",137,1,0,900,1167,0.2,2,2,8
"43","Positive",2,"ownerwithdeed",5,61,"widower","No","Others","miser",230,1,0,950,1150,0.2,2,2,9
"44","Negative",2,"ownerwithdeed",5,32,"married","Yes","Permanent","less miser",142,1,3000,1250,1566,0.2,2,2,5
"45","Negative",2,"ownerwithdeed",5,43,"married","No","Temporaray","less miser",71,1,0,1500,1552,0.2,2,2,4
"46","Positive",2,"parents",5,26,"single","No","Temporaray","miser",120,1,0,1150,1300,0.2,2,2,2
"47","Positive",2,"ownerwithdeed",5,49,"widower","No","Self","miser",233,1,4500,2100,2104,0.2,3,2,5
"48","Positive",3,"ownerwithdeed",3,47,"married","No","Permanent","less miser",289,1,0,1500,2154,0.2,1,2,3
"49","Negative",2,"rented",3,27,"separated","No","Permanent","less miser",128,1,0,450,545,0.2,2,2,2
"50","Positive",3,"ownerwithdeed",3,52,"married","No","Self","less miser",150,1,0,750,1778,0.2,1,2,8
"51","Positive",3,"ownerwithdeed",5,28,"married","No","Permanent","less miser",145,1,1000,1600,1718,0.2,2,2,10
"52","Positive",3,"ownerwithdeed",5,31,"married","No","Permanent","less miser",90,1,0,900,1500,0.2,1,2,5
"53","Positive",2,"rented",5,32,"married","No","Permanent","less spenthrift",301,1,0,1200,1274,0.2,2,2,9
"54","Positive",3,"ownerwithdeed",3,51,"married","No","Self","less miser",200,1,1200,900,1015,0.2,2,2,1
"55","Positive",2,"parents",1,37,"married","No","Self","less miser",150,1,0,500,1701,0.2,1,2,2
"56","Negative",2,"rented",4,29,"married","Yes","Self","less miser",100,1,0,1000,1345,0.2,2,2,6
"57","Positive",3,"parents",5,26,"single","No","Permanent","miser",100,1,0,1000,1238,0.2,2,2,1
"58","Positive",2,"parents",30,27,"single","No","Permanent","less miser",100,1,0,500,1048,0.2,1,2,6
"59","Positive",3,"ownerwithdeed",2,63,"married","No","Permanent","less miser",155,1,0,600,1048,0.2,1,2,6
"60","Positive",3,"ownerwithdeed",2,55,"married","No","Permanent","less spenthrift",715,1,0,800,1324,0.2,1,2,10
"61","Positive",2,"rented",5,28,"married","No","Permanent","less miser",245,1,0,1830,2201,0.2,2,2,2
"62","Positive",3,"rented",4,31,"married","No","Permanent","less spenthrift",150,1,0,1100,1430,0.2,2,2,2
"63","Negative",2,"parents",42,27,"single","No","Permanent","miser",70,1,0,600,926,0.2,1,2,7
"64","Positive",3,"ownerwithdeed",2,40,"married","No","Permanent","less miser",190,1,0,1000,1500,0.2,1,2,3
"65","Positive",2,"ownerwithdeed",3,35,"married","No","Permanent","less miser",152,1,0,1000,1542,0.2,1,2,5
"66","Positive",3,"private",5,43,"married","No","Permanent","less miser",126,1,0,1350,1360,0.2,3,2,4
"67","Positive",3,"ownerwithdeed",18,34,"married","No","Self","less miser",181,1,0,600,1000,0.2,1,2,2
"68","Positive",2,"ownerwithdeed",5,37,"married","No","Permanent","less miser",185,1,0,1200,1564,0.2,2,2,3
"69","Positive",3,"ownerwithdeed",5,53,"married","No","Permanent","less miser",170,1,0,850,1205,0.2,2,2,5
"70","Positive",3,"rented",5,46,"married","No","Permanent","less spenthrift",176,1,0,2000,2200,0.2,2,2,5
"71","Positive",3,"parents",3,36,"married","No","Self","less miser",238,1,0,900,2214,0.2,1,2,9
"72","Positive",2,"private",5,46,"married","No","Permanent","less miser",115,1,800,1000,1137,0.2,2,2,3
"73","Positive",3,"ownerwithdeed",4,43,"married","No","Permanent","less miser",200,1,0,600,1025,0.2,1,2,8
"74","Positive",3,"ownerwithdeed",3,31,"married","Yes","Self","less miser",411,1,4000,800,1593,0.2,1,2,6
"75","Positive",3,"ownerwithdeed",2,43,"married","No","Permanent","less miser",93,1,0,700,1735,0.2,1,2,6
"76","Positive",3,"rented",5,38,"married","No","Permanent","less spenthrift",108,1,0,1000,1132,0.2,2,2,10
"77","Positive",3,"ownerwithdeed",1,37,"married","No","Self","less spenthrift",500,1,0,500,1338,0.2,1,2,9
"78","Positive",2,"others",3,46,"married","Yes","Others","less miser",45,1,0,900,1100,0.2,2,2,1
"79","Positive",3,"rented",3,55,"married","No","Permanent","less miser",250,1,0,1750,2276,0.2,2,2,10
"80","Positive",3,"ownerwithdeed",4,56,"married","No","Permanent","less miser",100,1,0,900,1360,0.2,1,2,9
"81","Positive",3,"ownerwithdeed",3,55,"married","No","Permanent","less miser",70,1,0,1000,1436,0.2,1,2,9
"82","Positive",3,"parents",3,52,"married","No","Permanent","less miser",150,1,0,550,612,0.2,2,2,7
"83","Negative",2,"ownerwithdeed",3,29,"married","No","Permanent","less miser",70,1,0,850,1100,0.2,2,2,10
"84","Positive",3,"ownerwithdeed",5,39,"divorced","Yes","Permanent","miser",263,1,0,1000,1300,0.2,2,2,6
"85","Positive",3,"ownerwithdeed",5,38,"married","No","Self","less miser",200,1,0,1000,2089,0.2,1,2,7
"86","Positive",3,"ownerwithdeed",2,24,"single","No","Permanent","miser",78,1,3000,500,2262,0.2,1,2,7
"87","Positive",3,"rented",5,28,"single","No","Permanent","less miser",120,1,0,600,1054,0.2,1,2,9
"88","Positive",3,"ownerwithdeed",5,53,"married","No","Permanent","less miser",125,1,0,1426,1426,0.2,3,2,5
"89","Negative",2,"rented",5,25,"single","No","Temporaray","miser",50,1,0,1040,1048,0.2,3,2,9
"90","Negative",3,"rented",5,62,"married","No","Permanent","less miser",146,1,0,1000,1292,0.2,2,2,5
"91","Positive",2,"parents",5,29,"single","No","Permanent","miser",70,1,0,950,1177,0.2,2,2,2
"92","Negative",3,"parents",5,32,"single","Yes","Permanent","miser",105,1,0,1490,1490,0.2,3,2,7
"93","Positive",2,"rented",3,21,"married","No","Self","less spenthrift",413,1,0,750,850,0.2,2,2,2
"94","Positive",3,"rented",3,38,"married","No","Self","less spenthrift",500,1,21400,800,1011,0.2,2,2,5
"95","Positive",3,"rented",4,56,"married","No","Self","less spenthrift",350,1,0,1400,1571,0.2,2,2,5
"96","Positive",2,"ownerwithdeed",3,41,"married","No","Self","less miser",200,1,0,1000,1000,0.2,3,2,8
"97","Negative",3,"others",3,46,"married","No","Permanent","less miser",138,1,0,250,270,0.2,2,2,10
"98","Positive",2,"ownerwithdeed",5,54,"widower","No","Others","miser",80,1,0,950,1382,0.2,1,2,9
"99","Positive",3,"ownerwithdeed",3,51,"married","No","Self","less spenthrift",208,1,0,1500,1713,0.2,2,2,1
"100","Positive",3,"rented",5,52,"married","No","Permanent","less spenthrift",137,1,0,800,1086,0.2,2,2,4
"101","Positive",3,"ownerwithdeed",4,57,"married","No","Self","less miser",58,1,0,1500,3262,0.2,1,2,8
"102","Positive",2,"rented",5,33,"married","No","Permanent","less miser",130,1,0,1100,1610,0.2,1,2,10
"103","Positive",2,"ownerwithdeed",5,33,"married","No","Permanent","less miser",123,1,1000,600,1030,0.2,1,2,3
"104","Negative",2,"rented",3,29,"married","No","Temporaray","less miser",180,1,0,650,650,0.2,3,2,4
"105","Negative",2,"others",4,23,"single","No","Permanent","miser",140,1,0,1950,2175,0.2,2,2,6
"106","Positive",3,"ownerwithdeed",2,33,"married","No","Permanent","less miser",315,1,0,400,1780,0.2,1,2,9
"107","Negative",2,"rented",3,24,"married","No","Temporaray","less miser",164,1,0,900,950,0.2,2,2,2
"108","Negative",3,"parents",5,28,"married","No","Self","less spenthrift",325,1,0,1200,1211,0.2,3,2,5
"109","Positive",3,"ownerwithdeed",5,27,"married","No","Permanent","less miser",135,1,1400,1600,1650,0.2,2,2,9
"110","Negative",3,"parents",3,33,"single","No","Permanent","miser",109,1,0,350,350,0.2,3,2,5
"111","Positive",3,"rented",5,32,"married","No","Permanent","less miser",185,1,0,950,1117,0.2,2,2,9
"112","Positive",3,"ownerwithdeed",2,39,"married","No","Permanent","less miser",217,1,3000,1500,2468,0.2,1,2,2
"113","Negative",3,"ownerwithdeed",5,51,"married","No","Self","less spenthrift",300,1,2500,1340,1740,0.2,2,2,3
"114","Negative",2,"ownerwithdeed",3,39,"single","No","Self","miser",0,1,0,1000,1210,0.2,2,2,6
"115","Positive",3,"ownerwithdeed",4,29,"married","No","Permanent","less miser",253,1,0,670,963,0.2,1,2,5
"116","Negative",2,"ownerwithdeed",3,32,"married","No","Permanent","less miser",101,1,400,1200,1646,0.2,2,2,9
"117","Negative",2,"ownerwithdeed",3,40,"married","Yes","Self","miser",200,1,0,800,800,0.2,3,2,8
"118","Positive",3,"ownerwithdeed",3,47,"married","No","Permanent","less miser",124,1,0,460,470,0.2,2,2,2
"119","Positive",3,"ownerwithdeed",2,66,"married","No","Permanent","less miser",143,1,0,950,1370,0.2,1,2,8
"120","Positive",2,"private",4,39,"separated","No","Self","miser",250,1,1500,700,839,0.2,2,2,3
"121","Positive",3,"ownerwithdeed",5,50,"married","No","Permanent","less miser",135,1,1000,600,1346,0.2,1,2,3
"122","Positive",2,"rented",5,25,"married","No","Permanent","less miser",115,1,0,900,1350,0.2,1,2,5
"123","Negative",2,"ownerwithdeed",5,27,"married","No","Temporaray","less miser",160,1,3000,1800,2100,0.2,2,2,10
"124","Positive",3,"rented",5,54,"married","No","Permanent","less miser",214,1,0,1300,1307,0.2,3,2,1
"125","Positive",3,"rented",5,42,"married","No","Permanent","less spenthrift",390,1,0,1100,1126,0.2,2,2,3
"126","Positive",3,"ownerwithdeed",4,35,"separated","No","Self","less miser",500,1,0,2380,4786,0.2,1,2,10
"127","Negative",2,"parents",5,23,"single","No","Temporaray","miser",95,1,0,1400,1478,0.2,2,2,3
"128","Positive",3,"ownerwithdeed",5,52,"married","No","Permanent","less miser",200,1,0,1550,1568,0.2,98.8520408163265,2,1
"129","Positive",2,"parents",2,22,"single","No","Temporaray","miser",85,1,0,650,1056,0.2,1,2,5
"130","Positive",3,"others",18,48,"married","No","Permanent","less spenthrift",214,1,0,1000,1608,0.2,1,2,8
"131","Positive",2,"ownerwithdeed",5,25,"married","No","Permanent","less miser",140,1,0,950,1179,0.2,2,2,3
"132","Negative",3,"others",5,26,"married","No","Permanent","less miser",60,1,0,1400,1524,0.2,2,2,6
"133","Positive",3,"ownerwithdeed",5,28,"married","No","Permanent","less miser",180,1,0,1300,1730,0.2,2,2,7
"134","Positive",3,"ownerwithdeed",30,62,"married","No","Self","less miser",300,1,9000,600,823,0.2,2,2,5
"135","Positive",2,"rented",5,33,"married","No","Self","less miser",200,1,0,700,800,0.2,2,2,8
"136","Positive",3,"parents",5,41,"married","No","Permanent","less miser",242,1,0,1300,1482,0.2,2,2,8
"137","Positive",2,"ownerwithdeed",5,29,"married","No","Temporaray","less miser",155,1,2500,900,1110,0.2,2,2,9
"138","Negative",2,"rented",5,37,"single","No","Permanent","less miser",100,1,0,1150,1555,0.2,2,2,10
"139","Positive",2,"ownerwithdeed",5,31,"married","No","Permanent","less miser",105,1,0,1100,1170,0.2,2,2,1
"140","Positive",3,"ownerwithdeed",1,50,"married","No","Self","less miser",166,1,0,500,886,0.2,1,2,5
"141","Negative",3,"rented",5,42,"separated","Yes","Permanent","less miser",120,1,0,800,1395,0.2,1,2,7
"142","Positive",3,"ownerwithdeed",3,33,"married","No","Permanent","less miser",115,1,2000,1000,2084,0.2,1,2,2
"143","Positive",3,"ownerwithdeed",2,54,"married","No","Self","less spenthrift",350,1,0,3800,8800,0.2,1,2,3
"144","Positive",3,"ownerwithdeed",3,58,"married","No","Self","less miser",0,1,0,1000,1160,0.2,2,2,4
"145","Positive",3,"rented",5,40,"married","No","Permanent","less spenthrift",442,1,1947,900,1211,0.2,2,2,10
"146","Negative",3,"parents",5,31,"separated","Yes","Permanent","miser",101,1,0,1300,1300,0.2,3,2,7
"147","Negative",2,"ownerwithdeed",3,35,"married","Yes","Permanent","less spenthrift",122,1,2000,850,850,0.2,3,2,9
"148","Positive",3,"ownerwithdeed",5,64,"married","No","Self","less miser",250,1,0,700,1204,0.2,1,2,1
"149","Positive",3,"parents",2,29,"single","No","Self","miser",90,1,0,600,1528,0.2,1,2,3
"150","Positive",2,"ownerwithdeed",4,33,"married","No","Permanent","less miser",160,1,0,1200,1298,0.2,2,2,10
"151","Positive",3,"ownerwithdeed",18,35,"married","No","Self","less miser",300,1,0,300,600,0.2,1,2,4
"152","Negative",2,"parents",4,28,"single","No","Permanent","miser",83,1,0,1000,1320,0.2,2,2,7
"153","Positive",3,"ownerwithdeed",5,59,"married","No","Self","less miser",0,1,0,1100,1300,0.2,2,2,6
"154","Negative",2,"others",5,25,"married","No","Temporaray","less miser",60,1,0,1300,1380,0.2,2,2,3
"155","Negative",2,"parents",5,23,"single","No","Temporaray","miser",205,1,0,1400,1426,0.2,98.1767180925666,2,5
"156","Positive",2,"ownerwithdeed",2,30,"married","No","Self","less miser",133,1,900,1500,5200,0.2,1,2,6
"157","Positive",3,"rented",3,36,"married","No","Permanent","less miser",179,1,0,900,1503,0.2,1,2,2
"158","Positive",2,"ownerwithdeed",4,25,"single","No","Self","miser",0,1,0,1200,1449,0.2,2,2,8
"159","Positive",3,"others",5,22,"single","No","Permanent","less miser",195,1,0,700,1422,0.2,1,2,4
"160","Positive",3,"ownerwithdeed",2,45,"married","No","Permanent","less miser",112,1,0,500,1430,0.2,1,2,2
"161","Positive",2,"ownerwithdeed",30,47,"married","No","Self","less spenthrift",210,1,0,1550,1578,0.2,98.2256020278834,2,3
"162","Positive",3,"private",4,36,"married","No","Permanent","less miser",155,1,200,1100,1250,0.2,2,2,8
"163","Positive",2,"ownerwithdeed",3,36,"single","Yes","Self","miser",394,1,0,1500,2260,0.2,1,2,1
"164","Positive",3,"rented",3,60,"married","No","Permanent","less miser",149,1,0,200,280,0.2,2,2,1
"165","Positive",3,"rented",4,59,"married","No","Permanent","less miser",120,1,0,800,1298,0.2,1,2,2
"166","Negative",3,"ownerwithdeed",4,58,"married","Yes","Self","less miser",400,1,0,930,945,0.2,98.4126984126984,2,1
"167","Positive",3,"ownerwithdeed",1,37,"married","No","Permanent","less miser",165,1,0,900,1694,0.2,1,2,3
"168","Negative",3,"ownerwithdeed",3,32,"married","No","Self","less miser",125,1,0,600,700,0.2,2,2,9
"169","Positive",3,"rented",4,26,"single","No","Permanent","miser",74,1,0,600,1290,0.2,1,2,6
"170","Positive",3,"ownerwithdeed",5,40,"married","No","Permanent","less miser",86,1,0,1300,1581,0.2,2,2,1
"171","Positive",3,"ownerwithdeed",4,55,"married","No","Permanent","less miser",185,1,0,1000,1383,0.2,2,2,7
"172","Positive",3,"rented",5,30,"married","No","Permanent","less miser",165,1,0,1350,1637,0.2,2,2,3
"173","Positive",3,"parents",54,43,"married","No","Permanent","less miser",110,1,0,1275,1275,0.2,3,2,8
"174","Negative",2,"rented",5,28,"married","No","Permanent","less miser",138,1,0,1400,1400,0.2,3,2,4
"175","Positive",3,"ownerwithdeed",2,47,"married","No","Self","less miser",300,1,0,600,832,0.2,2,2,7
"176","Positive",3,"ownerwithdeed",3,29,"single","No","Permanent","miser",147,1,0,1886,2886,0.2,1,2,7
"177","Negative",2,"rented",5,48,"separated","Yes","Self","miser",0,1,15500,1200,1257,0.2,2,2,10
"178","Positive",3,"parents",5,34,"married","No","Permanent","less miser",112,1,0,600,1346,0.2,1,2,9
"179","Positive",3,"ownerwithdeed",5,53,"married","Yes","Self","less miser",350,1,0,800,1138,0.2,2,2,5
"180","Positive",3,"ownerwithdeed",1,44,"married","No","Permanent","less miser",110,1,0,300,1801,0.2,1,2,5
"181","Negative",2,"ownerwithdeed",4,49,"married","No","Temporaray","less miser",75,1,0,900,1200,0.2,2,2,1
"182","Positive",2,"rented",3,51,"married","No","Permanent","less spenthrift",230,1,0,950,950,0.2,3,2,6
"183","Positive",3,"ignore",5,34,"married","No","Permanent","less miser",85,1,0,1400,1589,0.2,2,2,4
"184","Positive",3,"ownerwithdeed",4,42,"married","No","Self","less miser",210,1,120,1200,1617,0.2,2,2,5
"185","Positive",3,"ownerwithdeed",5,34,"married","No","Permanent","less miser",125,1,0,1200,1200,0.2,3,2,8
"186","Positive",3,"ownerwithdeed",5,46,"married","No","Permanent","less miser",149,1,0,1400,2194,0.2,1,2,9
"187","Positive",2,"ownerwithdeed",4,31,"married","No","Permanent","less miser",201,1,96,1100,1642,0.2,1,2,10
"188","Negative",3,"others",5,31,"married","No","Permanent","less miser",105,1,0,1200,1423,0.2,2,2,5
"189","Positive",2,"rented",1,33,"married","No","Permanent","less miser",183,1,0,600,1600,0.2,1,2,2
"190","Negative",3,"rented",2,30,"single","Yes","Permanent","less miser",113,1,0,700,700,0.2,3,2,4
"191","Positive",2,"ownerwithdeed",2,27,"married","No","Permanent","less miser",126,1,3700,200,300,0.2,1,2,7
"192","Positive",2,"ownerwithdeed",3,48,"married","No","Self","less spenthrift",300,1,0,1000,1165,0.2,2,2,7
"193","Positive",2,"ownerwithdeed",5,33,"married","No","Permanent","less miser",160,1,0,1000,1365,0.2,2,2,4
"194","Positive",2,"ownerwithdeed",1,44,"married","No","Permanent","less spenthrift",160,1,0,500,1706,0.2,1,2,10
"195","Negative",2,"others",3,48,"married","Yes","Self","less miser",0,1,0,1600,2053,0.2,2,2,10
"196","Positive",3,"ownerwithdeed",5,57,"married","No","Self","less miser",95,1,0,1000,1700,0.2,1,2,10
"197","Positive",3,"ownerwithdeed",5,34,"married","Yes","Permanent","less miser",125,1,4000,950,1462,0.2,1,2,10
"198","Positive",3,"rented",5,38,"married","No","Permanent","less spenthrift",120,1,0,1177,1300,0.2,2,2,8
"199","Positive",2,"rented",3,35,"married","No","Permanent","less spenthrift",359,1,0,870,1122,0.2,2,2,9
"200","Positive",3,"ownerwithdeed",5,52,"married","No","Permanent","less miser",80,1,0,1200,1257,0.2,2,2,3
"201","Positive",2,"parents",5,28,"single","No","Temporaray","miser",67,1,0,1050,1387,0.2,2,2,7
"202","Positive",3,"ownerwithdeed",4,46,"married","No","Permanent","less spenthrift",148,1,0,1000,1266,0.2,2,2,4
"203","Positive",3,"ownerwithdeed",5,56,"married","Yes","Permanent","less miser",298,1,0,1700,2195,0.2,2,2,3
"204","Positive",3,"ownerwithdeed",2,52,"married","No","Permanent","less miser",318,1,700,700,2004,0.2,1,2,2
"205","Positive",3,"ownerwithdeed",5,35,"married","No","Permanent","less miser",185,1,0,1100,1203,0.2,2,2,7
"206","Positive",3,"ownerwithdeed",3,45,"married","Yes","Self","less miser",0,1,250,750,1138,0.2,1,2,5
"207","Positive",2,"parents",4,29,"married","No","Permanent","less miser",194,1,0,1200,1374,0.2,2,2,3
"208","Negative",2,"parents",5,22,"single","No","Permanent","miser",80,1,0,1500,1514,0.2,3,2,8
"209","Positive",2,"ownerwithdeed",2,33,"married","Yes","Permanent","less miser",147,1,900,400,750,0.2,1,2,1
"210","Positive",3,"ownerwithdeed",2,41,"married","No","Self","less spenthrift",156,1,0,800,1894,0.2,1,2,3
"211","Positive",3,"ownerwithdeed",3,37,"married","No","Permanent","less miser",178,1,0,1000,1048,0.2,2,2,3
"212","Positive",3,"ownerwithdeed",2,46,"married","No","Permanent","less miser",130,1,0,400,1369,0.2,1,2,8
"213","Negative",2,"others",3,19,"single","No","Temporaray","miser",63,1,0,1000,1035,0.2,2,2,9
"214","Negative",3,"parents",3,22,"single","No","Permanent","miser",88,1,0,750,1218,0.2,1,2,8
"215","Positive",3,"parents",5,31,"married","No","Permanent","less miser",140,1,0,1200,1637,0.2,2,2,8
"216","Negative",2,"private",5,44,"married","No","Temporaray","less miser",115,1,0,750,953,0.2,2,2,3
"217","Positive",3,"ownerwithdeed",5,48,"married","Yes","Permanent","less miser",83,1,0,1100,1212,0.2,2,2,8
"218","Positive",2,"private",3,31,"married","No","Permanent","less miser",144,1,0,1000,1218,0.2,2,2,8
"219","Positive",3,"ownerwithdeed",2,53,"married","No","Self","less miser",200,1,0,1000,1419,0.2,2,2,5
"220","Positive",3,"others",5,36,"married","No","Permanent","less spenthrift",172,1,0,1100,1100,0.2,3,2,4
"221","Positive",2,"private",5,46,"married","No","Self","less spenthrift",200,1,500,900,987,0.2,2,2,9
"222","Positive",3,"ownerwithdeed",5,37,"married","No","Permanent","less miser",318,1,0,1900,2400,0.2,2,2,10
"223","Positive",3,"ownerwithdeed",5,34,"married","No","Permanent","less miser",177,1,4000,1370,1375,0.2,3,2,4
"224","Positive",2,"ownerwithdeed",4,36,"married","No","Permanent","less miser",133,1,0,1000,1595,0.2,1,2,3
"225","Positive",2,"ownerwithdeed",5,64,"single","No","Others","miser",150,1,0,984,1054,0.2,2,2,2
"226","Positive",2,"ownerwithdeed",3,27,"single","No","Permanent","miser",208,1,0,1000,1651,0.2,1,2,6
"227","Positive",3,"ownerwithdeed",30,26,"married","No","Permanent","less miser",145,1,0,300,1542,0.2,1,2,4
"228","Positive",3,"ownerwithdeed",5,53,"married","No","Permanent","less miser",157,1,0,2000,2014,0.2,3,2,10
"229","Positive",3,"ownerwithdeed",5,50,"married","No","Permanent","less miser",190,1,200,1800,2624,0.2,1,2,10
"230","Negative",2,"parents",5,21,"single","No","Temporaray","miser",86,1,0,1000,1135,0.2,2,2,8
"231","Positive",3,"parents",2,40,"single","No","Permanent","miser",90,1,0,600,1105,0.2,1,2,3
"232","Positive",3,"rented",5,49,"married","Yes","Temporaray","less spenthrift",100,1,0,1500,1500,0.2,3,2,2
"233","Negative",2,"rented",2,40,"married","Yes","Permanent","less miser",214,1,0,800,1200,0.2,1,2,8
"234","Positive",2,"rented",5,37,"single","No","Permanent","less miser",100,1,0,1150,1555,0.2,2,2,6
"235","Positive",2,"rented",4,25,"married","No","Permanent","less miser",117,1,0,800,2251,0.2,1,2,3
"236","Positive",3,"ownerwithdeed",18,40,"married","No","Permanent","less miser",110,1,0,455,1542,0.2,1,2,3
"237","Positive",2,"rented",3,22,"married","No","Permanent","less miser",168,1,0,1200,2186,0.2,1,2,6
"238","Positive",3,"ownerwithdeed",4,49,"married","No","Self","less miser",150,1,0,1700,1700,0.2,3,2,9
"239","Positive",2,"ownerwithdeed",5,34,"married","No","Permanent","less miser",166,1,0,600,1180,0.2,1,2,6
"240","Positive",2,"parents",2,42,"single","No","Permanent","miser",337,1,0,1300,1624,0.2,2,2,6
"241","Negative",3,"rented",2,49,"married","No","Self","less spenthrift",0,1,0,700,800,0.2,2,2,9
"242","Negative",3,"rented",5,43,"married","No","Self","less spenthrift",0,1,0,1350,1668,0.2,2,2,5
"243","Positive",3,"ownerwithdeed",3,42,"married","No","Self","less spenthrift",250,1,0,1500,1750,0.2,2,2,8
"244","Positive",3,"ownerwithdeed",4,28,"married","Yes","Temporaray","less miser",120,1,1500,600,875,0.2,1,2,8
"245","Positive",2,"ownerwithdeed",5,30,"married","No","Self","miser",236,1,1000,1000,1514,0.2,1,2,1
"246","Negative",2,"ownerwithdeed",5,25,"separated","Yes","Temporaray","less miser",277,1,3500,1700,1950,0.2,2,2,7
